Abbrev,State,pdsi
AL,ALABAMA,-0.31
AZ,ARIZONA,-0.80
AR,ARKANSAS,1.45
CA,CALIFORNIA,-4.27
CO,COLORADO,2.09
CT,CONNECTICUT,-2.29
DE,DELAWARE,-0.19
FL,FLORIDA,-0.01
GA,GEORGIA,-0.99
ID,IDAHO,-0.05
IL,ILLINOIS,-2.01
IN,INDIANA,2.38
IA,IOWA,2.18
KS,KANSAS,2.65
KY,KENTUCKY,0.81
LA,LOUISIANA,2.37
ME,MAINE,0.08
MD,MARYLAND,0.20
MA,MASSACHUSETTS,0.02
MI,MICHIGAN,-0.72
MN,MINNESOTA,-0.18
MS,MISSISSIPPI,0.39
MO,MISSOURI,0.27
MT,MONTANA,2.26
NE,NEBRASKA,-1.42
NV,NEVADA,2.42
NH,NEW HAMPSHIRE,-3.85
NJ,NEW JERSEY,-0.07
NM,NEW MEXICO,-0.67
NY,NEW YORK,1.44
NC,NORTH CAROLINA,-0.08
ND,NORTH DAKOTA,0.30
OH,OHIO,0.29
OK,OKLAHOMA,0.87
OR,OREGON,2.42
PA,PENNSYLVANIA,-2.93
RI,RHODE ISLAND,-0.25
SC,SOUTH CAROLINA,-1.09
SD,SOUTH DAKOTA,0.39
TN,TENNESSEE,2.12
TX,TEXAS,1.46
UT,UTAH,2.80
VT,VERMONT,-0.85
VA,VIRGINIA,-0.37
WA,WASHINGTON,0.81
WV,WEST VIRGINIA,-2.09
WI,WISCONSIN,0.56
WY,WYOMING,1.20
,,0.62
,,
,,0.83
