Abbrev,State,pdsi
AL,ALABAMA,-0.11
AZ,ARIZONA,0.58
AR,ARKANSAS,-0.57
CA,CALIFORNIA,3.74
CO,COLORADO,2.33
CT,CONNECTICUT,-0.87
DE,DELAWARE,-1.38
FL,FLORIDA,1.52
GA,GEORGIA,0.16
ID,IDAHO,2.76
IL,ILLINOIS,-0.02
IN,INDIANA,-0.63
IA,IOWA,0.8
KS,KANSAS,1.52
KY,KENTUCKY,-0.03
LA,LOUISIANA,-0.05
ME,MAINE,-0.66
MD,MARYLAND,-1.31
MA,MASSACHUSETTS,-0.89
MI,MICHIGAN,-0.32
MN,MINNESOTA,2.47
MS,MISSISSIPPI,0
MO,MISSOURI,0.99
MT,MONTANA,1.84
NE,NEBRASKA,2.67
NV,NEVADA,3.44
NH,NEW HAMPSHIRE,-0.82
NJ,NEW JERSEY,-1.38
NM,NEW MEXICO,-0.31
NY,NEW YORK,-1.17
NC,NORTH CAROLINA,0.58
ND,NORTH DAKOTA,4.93
OH,OHIO,-0.12
OK,OKLAHOMA,1.34
OR,OREGON,1.83
PA,PENNSYLVANIA,-0.77
RI,RHODE ISLAND,-1.15
SC,SOUTH CAROLINA,2.19
SD,SOUTH DAKOTA,4.73
TN,TENNESSEE,0.53
TX,TEXAS,0.34
UT,UTAH,2.24
VT,VERMONT,-1.06
VA,VIRGINIA,-0.35
WA,WASHINGTON,1.42
WV,WEST VIRGINIA,-0.5
WI,WISCONSIN,0.41
WY,WYOMING,3.62
