I_D,FLAG_TSUNAMI,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,FOCAL_DEPTH,EQ_PRIMARY,EQ_MAG_MW,EQ_MAG_MS,EQ_MAG_MB,EQ_MAG_ML,EQ_MAG_MFA,EQ_MAG_UNK,INTENSITY,COUNTRY,STATE,LOCATION_NAME,LATITUDE,LONGITUDE,REGION_CODE,DEATHS,DEATHS_DESCRIPTION,MISSING,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,HOUSES_DAMAGED,HOUSES_DAMAGED_DESCRIPTION,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION,TOTAL_HOUSES_DAMAGED,TOTAL_HOUSES_DAMAGED_DESCRIPTION
4333,,1965,1,1,21,38,29.2,10,5.5,,5.5,,,,,,ALGERIA,,ALGERIA:  M'SILA,35.7,4.4,15,4,1,,,350,3,2,2,25000,4,,,4,1,,,350,3,2,2,2500,4,,
8074,,1965,1,12,17,18,9,10,5.5,,5.5,,,,,7,CHINA,,CHINA:  SHANXI PROVINCE,35,111.63,30,,,,,,,,2,,3,,,,,,,,,,2,,3,,
4334,Tsu,1965,1,24,0,11,12.1,6,7.6,,7.6,,,,,,INDONESIA,,INDONESIA:  SANANA ISLAND,-2.4,126.1,170,71,2,,,,,,2,3000,4,,,71,2,,,,,,2,3000,4,,
4337,Tsu,1965,2,4,5,1,21.6,36,8.7,8.7,7.8,7.7,,,,6,USA,AK,ALASKA:  ALEUTIAN ISLANDS:  RAT ISLANDS,51.29,178.55,150,,,,,,,,1,,,,,,,,,,,0.01,1,,,,
4340,,1965,2,10,16,9,    ,52,5.1,,,,,,5.1,,IRAN,,IRAN:  NW,37.6,47.1,140,20,1,,,,,,3,,,,,,,,,,,,,,,,
6411,Tsu,1965,2,23,22,11,46,36,7,,7,,,,,,CHILE,,CHILE:  NORTHERN,-25.67,-70.63,160,,,,,,,,,,,,,,,,,,,,,,,,
4341,Tsu,1965,3,9,17,57,53.7,18,6.3,,6.3,,,,,,GREECE,,"GREECE:  ALONISOS, SKOPELOS",39.4,24,130,38,1,,,253,3,8,3,,,,,38,1,,,253,3,8,3,,3,,
4343,,1965,3,14,15,53,6.6,219,7.3,,7.3,6.9,,,,7,AFGHANISTAN,,AFGHANISTAN,36.3,70.7,40,,,,,,,,1,,,,,,,,,,,,,,,,
6412,Tsu,1965,3,22,22,56,28,58,6,,6,,,,,6,CHILE,,CHILE:  CENTRAL,-31.81,-71.26,160,,,,,,,,,,,,,,,,,,,,,,,,
4345,,1965,3,28,16,33,    ,61,7.3,,,,,,7.3,,CHILE,,CHILE:  CENTRAL,-32.4,-71.2,160,400,3,,,,,125,4,,,,,,,,,,,,,,,,
4347,Tsu,1965,3,30,2,27,3.4,20,7.6,7.6,7.4,,,,,,USA,AK,ALASKA:  ALEUTIAN ISLANDS:  RAT ISLANDS,50.32,177.93,150,,,,,,,,,,,,,,,,,,,,,,,,
4349,,1965,3,31,9,47,    ,78,7.1,,,,,,7.1,10,GREECE,,GREECE,38.6,22.4,130,6,1,,,,,,2,,,,,,,,,,,,,,,,
4350,,1965,4,5,3,12,54.2,34,6.2,,6.2,,,,,10,GREECE,,GREECE:  SOUTHERN,37.7,21.8,130,32,1,,,200,3,,3,,3,,,32,1,,,200,3,,3,,3,,
9812,,1965,4,19,23,41,58.8,36,6,,6,,,,,,JAPAN,,"JAPAN:  AICHI, SHIZOUKA PREFECTURES",34.9,138,30,1,1,,,4,1,,1,,,,,1,1,,,4,1,,1,,,,
4351,,1965,4,29,15,28,43.7,59,6.6,,6.6,6.5,,,6.5,8,USA,WA,WASHINGTON:  SEATTLE,47.4,-122.3,150,7,1,,,,,28,4,,,,,7,1,,,,,28,4,,,,
4353,,1965,5,3,10,1,35.2,23,6,,6,,,,,6,EL SALVADOR,,EL SALVADOR:  SAN MARCOS,13.5,-89.3,100,125,3,,,1138,4,35,4,,,,,125,3,,,1138,4,35,4,,,,
6413,Tsu,1965,6,11,3,34,2,,7.2,,7.2,6.6,,,,,RUSSIA,,RUSSIA:  KURIL ISLANDS,44.7,148.7,50,,,,,,,,,,,,,,,,,,,,,,,,
4354,,1965,6,21,0,21,    ,40,6,,,,,,6,,IRAN,,"IRAN:  HADJIABAD, SARKHUN, SARCHAHAN",28.1,55.9,140,,,,,,,,3,,,,,,,,,,,,,,,,
6414,Tsu,1965,7,2,20,58,38.1,40,6.5,,6.5,7,,,,,USA,AK,ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS,53.03,-167.55,150,,,,,,,,1,,,,,,,,,,,,1,,,,
8076,,1965,7,3,11,26,12,15,6.1,,6.1,,,,,7,CHINA,,CHINA:   YUNNAN PROVINCE,22.4,101.6,30,,,,,,,,1,,,,,,,,,,,,1,,,,
6415,Tsu,1965,7,6,3,18,42.7,18,6.3,,6.3,,,,,8,GREECE,,NORTH CORINTH GULF,38.267,22.3,130,1,1,,,6,1,,2,,,,,2,1,,,6,1,,2,,,,
6416,Tsu,1965,8,11,22,31,45.9,13,7.6,7.6,7.3,,,,,,VANUATU,,VANUATU ISLANDS,-15.8,167.2,170,,,,,,,,2,,,,2,,,,,,,,2,,,,2
6595,Tsu,1965,8,13,12,40,32,33,7.3,,7.3,6.8,,,,,VANUATU,,VANUATU ISLANDS,-15.9,166.8,170,,,,,,,,,,,,,,,,,,,,1,,1,,
4356,Tsu,1965,8,23,19,46,2.9,28,7.8,,7.8,6.6,,,,,MEXICO,,"MEXICO:  ME\XICO CITY, OAXACA",16.3,-95.8,150,6,1,,,,,,1,,,,1,6,1,,,,,,1,,,,1
6417,Tsu,1965,10,3,16,14,56,28,6.5,,6.5,,,,,3,CHILE,,CHILE:  SOUTHERN,-42.9,-75.13,160,,,,,,,,,,,,,,,,,,,,,,,,
8077,,1965,11,13,4,33,55,,6.6,,6.6,,,,,8,CHINA,,CHINA:  XINJIANG PROVINCE,43.9,87.8,40,,,,,,,,,,3,,,,,,,,,,2,,3,,
8078,,1966,1,31,2,35,3,,5.1,,5.1,,,,,7,CHINA,,CHINA:  YUNNAN PROVINCE,27.9,99.7,30,,,,,,,,1,,1,,,,,,,,,,1,,1,,
4357,,1966,2,5,2,1,48.3,38,6.3,,6.3,,,,,,GREECE,,GREECE:  CENTRAL,39.2,22,130,1,1,,,60,2,4,2,450,3,,,,,,,60,2,4,2,450,3,,
8079,,1966,2,5,15,12,27,,6.5,,6.5,,,,,9,CHINA,,CHINA:  YUNNAN PROVINCE,26.1,103.1,30,,,,,,,,2,,3,,,,,,,,,,2,,3,,
8080,,1966,2,13,10,44,36,,6.2,,6.2,,,,,,CHINA,,CHINA:   YUNNAN PROVINCE,26.1,103.1,30,,,,,,,,1,,1,,,,,,,,,,1,,1,,
8081,,1966,3,6,0,12,19,,5.2,,5.2,,,,,7,CHINA,,CHINA:  HEBEI PROVINCE,37.47,115.03,30,,,,,,,,1,11,1,,,,,,,,,,1,11,1,,
4358,,1966,3,7,1,16,    ,38,6,,,,,,6,8,TURKEY,,"TURKEY:  VARTO, MUS",39.1,41.6,140,10,1,,,,,,3,,,,,,,,,,,,,,,,
4359,,1966,3,7,21,29,17,8,7.4,,7.4,6.4,,,,9,CHINA,,CHINA:  HEBEI PROVINCE,37.35,114.92,30,,3,,,,,,4,,4,,,,3,,,,,,4,,4,,
4360,Tsu,1966,3,12,16,31,21.8,48,8,,8,6.1,,,,,TAIWAN,,TAIWAN,24.1,122.6,30,7,1,,,10,1,,2,,2,,,7,1,,,10,1,,2,,2,,
8082,,1966,3,19,16,59,31,,5.6,,5.6,,,,,6,CHINA,,CHINA:  HEBEI PROVINCE,37.27,114.97,30,,,,,,,,1,,2,,,,,,,,,,1,,2,,
4362,,1966,3,20,1,42,49.9,36,7,,7,,,,,,UGANDA,,"UGANDA:  KICHWAMBA, BONDIBOGYO",0.6,30.2,10,140,3,,,,3,1.5,2,,,,,140,3,,,,3,1.5,2,,,,
4364,,1966,3,22,8,19,27,15,7.6,,7.6,6.5,,,,10,CHINA,,CHINA:  HEBEI PROVINCE,37.5,115.1,30,,3,,,,,,4,,4,,,,3,,,,,,4,,4,,
8083,,1966,3,26,15,19,4,,6.2,,6.2,,,,,7,CHINA,,CHINA:  HEBEI PROVINCE,37.68,115.27,30,,,,,,,,2,,2,,,,,,,,,,2,,2,,
8084,,1966,4,20,14,31,15,,5.3,,5.3,,,,,,CHINA,,CHINA:  HEBEI PROVINCE,37.25,114.78,30,,,,,,,,1,22,1,,,,,,,,,,1,22,1,,
4366,,1966,4,26,,,    ,,,,,,,,,,UZBEKISTAN,,UZBEKISTAN:  TASHKENT,41.2,69.1,40,10,1,,,,,300,4,,,,,,,,,,,,,,,,
4367,,1966,5,2,23,13,    ,41,4.8,,,,,,4.8,,TURKEY,,TURKEY,38,42.6,140,,,,,,,,2,,,,,,,,,,,,,,,,
4368,Tsu,1966,6,15,0,59,42.7,31,7.1,7.1,7.7,7.4,,,,,SOLOMON ISLANDS,,SOLOMON ISLANDS:  GUADALCANAL,-10.343,160.883,170,,,,,,,,,,,,,,,,,,,,,,,,
4369,,1966,6,27,10,41,9.5,23,6.3,,6.3,6,,,,8,NEPAL,,NEPAL-INDIA,29.554,80.854,60,80,2,,,100,2,1,2,5200,4,,,80,2,,,100,2,1,2,5200,4,,
