,Year,Mean cumulative mass balance,Number of observations
0,1945,0.0,
1,1946,-1.13,1.0
2,1947,-3.19,1.0
3,1948,-3.19,1.0
4,1949,-3.82,3.0
5,1950,-4.887,3.0
6,1951,-5.2170000000000005,3.0
7,1952,-5.707000000000001,3.0
8,1953,-6.341,7.0
9,1954,-6.825,6.0
10,1955,-6.575,7.0
11,1956,-6.814,7.0
12,1957,-6.989,9.0
13,1958,-7.693,9.0
14,1959,-8.325,11.0
15,1960,-8.687999999999999,14.0
16,1961,-8.935,15.0
17,1962,-9.109,20.0
18,1963,-9.567,22.0
19,1964,-9.699,22.0
20,1965,-9.298,24.0
21,1966,-9.436,27.0
22,1967,-9.302999999999999,29.0
23,1968,-9.219,31.0
24,1969,-9.732000000000001,31.0
25,1970,-10.128,32.0
26,1971,-10.288,32.0
27,1972,-10.440999999999999,32.0
28,1973,-10.538,32.0
29,1974,-10.613,32.0
30,1975,-10.534,33.0
31,1976,-10.633,35.0
32,1977,-10.682,37.0
33,1978,-10.754000000000001,37.0
34,1979,-11.127,37.0
35,1980,-11.318,36.0
36,1981,-11.394,35.0
37,1982,-11.849,36.0
38,1983,-11.845999999999998,37.0
39,1984,-11.902000000000001,37.0
40,1985,-12.238,37.0
41,1986,-12.782,37.0
42,1987,-12.795,37.0
43,1988,-13.26,37.0
44,1989,-13.343,37.0
45,1990,-13.687000000000001,37.0
46,1991,-14.255,37.0
47,1992,-14.501,36.0
48,1993,-14.695,37.0
49,1994,-15.276,37.0
50,1995,-15.485999999999999,37.0
51,1996,-15.89,37.0
52,1997,-16.487000000000002,37.0
53,1998,-17.31,37.0
54,1999,-17.697,37.0
55,2000,-17.727,37.0
56,2001,-18.032,37.0
57,2002,-18.726,37.0
58,2003,-19.984,37.0
59,2004,-20.703000000000003,37.0
60,2005,-21.405,37.0
61,2006,-22.595,37.0
62,2007,-23.255,37.0
63,2008,-23.776,37.0
64,2009,-24.459,37.0
65,2010,-25.158,37.0
66,2011,-26.294,37.0
67,2012,-26.93,36.0
68,2013,-27.816999999999997,31.0
69,2014,-28.651999999999997,24.0
